help | Shows the main menu
giveaway <Seconds> <Winners> <Prize> | Starts a giveaway
proxyscrape | Scrapes proxies from Proxyscrape
sleek | Shows available Sleek.to commands
todo <Task> | Adds a task to the TODO list
tododel <Task> | Removes a task from the TODO list
todolist | Shows the TODO list
todoclear | Clears the TODO list
yt2mp4 <YouTube URL> | Download a YouTube Video
eval <Code> | Evaluate Python code
remoteexecute <Channel> <Command> [Arguments] | Execute a command in another channel
boobs | Shows a boobs image
anal | Shows a anal image
porngif | Shows a porn gif image
hentai | Shows a hentai image
hentaiass | Shows a hentai ass image
hentaianal | Shows a hentai anal image
hentaiboobs | Shows a hentai boobs image
hentaitentacle | Shows a hentai tentacle image
hentaipussy | Sends a random hentai pussy image
hentaikuni | Sends a random hentai kuni image
hentaitits | Sends a random hentai tits image
hentaiketa | Sends a random hentai keta image
hentaikemonomimi | Sends a random hentai kemonomimi image
hentaigasm | Sends a random hentai gasm image
blowjob | Shows a blowjob image
feet | Shows a feet image
yaoi | Shows a yaoi image
ass | Shows an ass image
cum | Shows a cum image
trap | Shows a trap image
futanari | Shows a futanari image
spank | Shows a spank image
rule34 | Sends a random rule34.xxx image
reactencrypt <Message> | Encrypt a message for React Selfbot users
reactdecrypt <Message> | Decrypt a message from a React Selfbot user
whirlpool <Text> | Encrypts text to whirlpool
sha512 <Text> | Encrypts text to sha512
sha256 <Text> | Encrypts text to sha256
sha1 <Text> | Encrypts text to sha1
md5 <Text> | Encrypts text to md5
rot13 <Text> | Encrypts text to ROT-13
unrot13 <Text> | Decrypts text from ROT-13
privatebin <Expiration(5min/10min/1hour/1day)> <Burn after reading(true/false)> <Text> | Uploads text to privatebin.info
dmall <Text> | DM's all users on the server with the specified message
banall | Bans all users on the server except yourself
kickall | Kicks all users on the server except yourself
nickall <Nick> | Nicks all members
deleteroles | Deletes all roles on the server
deletechannels | Deletes all channels on the server
purgeserver | Deletes all channels and roles
masschannels | Creates 250 random named channels
massroles | Creates 250 random named roles
massunban | Unbans all users on the server
cloneserver [Server ID] | Creates a server with the same channels and roles
destroyserver [Server ID] | Deletes all channels, roles and kicks/bans all members and creates random channels and roles
dumpemojis [Server ID] | Saves all Emojis into an folder
rainbowrole <Role> | Fades the role color
unbanall | Unban all users
renameallroles <Name> | Rename all roles
renameallchannels <Name> | Rename all channels
loopservername <Text> | Loop server name
stoploopservername | Stop looping server name
nukechannel <Channel> | Clones a channel and deletes the original
bannedusers | Shows banned users
channels [Server ID] | Show server channels (including hidden ones)
delemojis | Deletes all server emojis
renameserver <Name> | Renames the server
massping | Pings as many people as possible
massgping | Mass ghostpings
cloneservertoserver <ToServerID> <FromServerID> | Clones a server to an existing one
makerole <Name> | Creates a role
addrole <Member> <Role> | Gives a role to a member
removerole <Member> <Role> | Removes a role from a member
roles [Server ID] | Shows roles
crypto | Shows all crypto commands
avatar [User] | Shows user's avatar
serverlogo [Server ID] | Shows server's logo
grouplogo | Shows groupchats's logo
roleinfo <Role> | Shows role information
serverinfo [Server ID] | Shows server information
userinfo [User] | Shows user information
covid [Country] | Shows live COVID-19 stats
pcspecs | Sends your PC specifications
urbandict <Word> | Shows the urban definition of a word
calc <Equation> | Calculates the mathematical answer of an equation
namehistory <Minecraft Username> | Shows the name history of a Minecraft account
pokedex <Pokemon> | Shows Pokedex information about a Pokemon
ping | Shows your latency
fnstats <Fortnite Name> | Shows the Fortnite stats of an user
snowflakeinfo <Snowflake ID> | Discord Snowflake information
dogfact | Random dog fact
catfact | Random cat fact
rockstarid <SocialClub Name> | Resolves Social Club's Rockstar ID of a user
weather <City> | Shows the current weather in the specified city
discordstatus | Shows current Discord Status
uptime | Shows the selfbot uptime
morsetable | Shows the morse code alphabet
define <Word> | Shows the definition of a word
howgay <User> | Shows how gay a user is
howcorona <User> | Shows how corona positive a user is
howfurry <User> | Shows how forry a user is
lovecalc <User 1> <User 2> | Love Calculator between two users
iq <User> | Shows User's IQ
deathdate <User> | Shows the Death Date of a user
lyrics <Title> | Shows the lyrics of a song
translate <FromLang> <ToLang> <Text> | Translates text to a specific language
mcskin <Minecraft Username> | Shows the Minecraft skin of the user
mcuuid <Minecraft Username> | Shows the Minecraft UUID of the user
color <HEX Code> | Shows information about the color
numberfact <Number> | Shows a fact about a number
motd | Displays React Selfbot MOTD
howcap <User> | Shows if a user is capping
mcserver <Address> | Shows information about a Minecraft Server
csgostats <Profile ID/Name> | Shows CS:GO Statistics
rlstats <Profile ID/Name> | Shows Rocket League Statistics
apexstats <Origin Name> | Shows Apex Legends Statistics
valorantstats <Riot Name With Tag> | Shows Valorant Statistics
rockstargamesstatus | Shows Rockstar Games Status
unixtime <Timestamp> | Converts an UNIX timestamp to time (UTC)
emojiinfo <Emoji> | Emoji information
watchuser <User> | Notifies you when an user changes his activity, online status, avatar or username
unwatchuser <User> | Stops watching an user
watchlist | Shows users in the watcher
unwatchall | Stops watching all users
changelog | Shows the latest changelog
lookupuser <User ID> | Lookups an user by his ID
listscripts | Shows your installed scripts
amazonsearch <Product> | Searches Amazon products
youtubesearch <Search> | Searches YouTube videos
googlesearch <Search> | Searches Google
pornhubsearch <Search> | Searches PornHub videos
steamsearch <Search> | Searches Steam games
githubsearch <Search> | Searches GitHub repositories
stackoverflowsearch <Search> | Searches StackOverflow answers
wikisearch <Search> | Searches Wikipedia articles
pornsearch <Search> | Searches PornHub, YouPorn, RedTube, etc. Videos
sherlocksearch <Username> | Searches for social media accounts
rpc | Toggles Rich Presence
rpccustommode | Toggles custom mode
rpcappid <Application ID> | Sets the RPC Application ID
rpcdetails <Details> | Sets the RPC details
rpcstate <State> | Sets the RPC state
rpclargeimage <Image Name> | Sets the RPC large image
rpclargeimagetext <Text> | Sets the RPC large image text
rpcsmallimage <Image Name> | Sets the RPC small image
rpcsmallimagetext <Text> | Sets the RPC small image text
rpctime | Toggle RPC Time
rpcbtnonelabel <Label> | Sets the button one label
rpcbtnoneurl <URL> | Sets the button one URL
rpcbtntwolabel <Label> | Sets the button two label
rpcbtntwourl <URL> | Sets the button two URL
rpcupdate | Restarts the bot to apply some rich presence features
coinflip | Flips a Coin
cocksize <Users> | Do a Cock comparison
8ball <Question> | Ask the Magic 8 ball
dadjoke | Tells a dad joke
joke | Tells a joke
chucknorrisjoke | Tells a Chuck Norris joke
wyr | Posts a Would you Rather embed
topic | Changes the topic
trumpquote | Shows a random Donald Trump quote
ccgen [Mastercard/Visa/Amex/Discover] | Generates a fake credit card
911 | Sends a short 9/11 animation
choose <Options> | Takes a random choice between options
nitro <Amount> | Generates Nitro and sends Codes every 3 seconds
search | Shows search commands
lmgtfy <Search> | Sends a Let Me Google That For You Link
slots | Gamble with a slot machine
tts <Language(en/de/fr/es/etc)> <Text> | Generates a Text To Speech mp3 and sends it
passwordgen | Generates a secure password
rps <Rock/Paper/Scissors> | Play a game of Rock, Paper, Scissors against an AI
animatenick <Text> | Animated nickname
stopanimatenick | Stop annimated nickname
hypesquadcycle | Cycle HypeSquad houses
dice [Sides] | Rolls a dice with the specified amount of sides
creeper | Sends an "infinite" creeper "gif"
advice | Gives a random advice
fml | Sends a random FML
dankfarm | Starts farming coins for Dank Memer
snipe | Shows the last deleted message
randomusername | Generates a random username
kanyequote | Generates a random Kanye West quote
bored | Generates a random activity
randomnumber [Minimum] [Maximum] | Generates a random number
netflixroulette | Generates a random netflix show
bubblewrap | Bubble Wrap pop
minesweeper | Minesweeper
randomemoji | Sends a random emoji
spoofnitro | Sends a Nitro gift link which doesn't embed but looks real 
uselessfact | Shows a random useless fact
insult <User> | Insults an user
nwordcounter | Shows how many times the n-word has been said
truthordare [Truth/Dare] | Random Truth or Dare
spamtillyouredead | Custom Dance till you're dead lyrics
playing <Status> | Sets your playing status
streaming <Status> | Sets your streaming status
listening <Status> | Sets your listening status
watching <Status> | Sets your watching status
removestatus | Removes your status
online | Sets your status to online
idle | Sets your status to idle
dnd | Sets your status to do not disturb
invisible | Sets your status to invisible
statuscycleadd <Word> | Adds a word to the status cycle
statuscycle | Toggles status cycle
statuscycleclear | Clears the status cycle words
onlinestatuscycle | Toggles online status cycle
setupwhooks | Creates a category, channels, webhooks and saves them to the config
webhook <Name> | Creates a webhook
wall <URL> | Sets the webhook URL for everything
wnitro <URL> | Set Nitro webhook URL
wgiveaways <URL> | Set giveaways webhook URL
wsbdetection <URL> | Set Selfbot Detection webhook URL
wgpings <URL> | Set Ghostpings webhook URL
wcmds <URL> | Set Command usage webhook URL
wdmdels <URL> | Set DM deletions webhook URL
wprivnotes <URL> | Set Privnotes webhook URL
wwatcher <URL> | Set Watcher webhook URL
wserverban <URL> | Set Server Bans webhook URL
wtickets <URL> | Set Tickets detection webhook URL
wrelationships <URL> | Set Relationship updates webhook URL
wroleupdates <URL> | Set Role updates webhook URL
wnickname <URL> | Set Nickname updates webhook URL
ndmdels | Toggles DM deletion Windows notifications
nnitroredeem | Toggles Nitro redeem Windows notifications
nghostping | Toggles ghostping Windows notifications
nprivnote | Toggles Privnote Windows notifications
ngiveawaywin | Toggles giveaway win Windows notifications
ngiveawayjoin | Toggles giveaway join Windows notifications
nsbdetection | Toggles selfbot detection Windows notifications
ntickets | Toggles ticket detection Windows notifications
nrelationships | Toggles relationship detection Windows notifications
nroleupdates | Toggles role updates detection Windows notifications
nnickname | Toggles Nickname updates detection Windows notifications
snsnipe | Toggles successfull Nitro snipe sound notifications
sgwin | Toggles giveaway win sound notifications
sprivnotes | Toggles Privnotes snipe sound notifications
ssbdetection | Toggles selfbot detection sound notifications
sdmdels | Toggles DM deletions sound notifications
sban | Toggles server ban sound notifications
sghostping | Toggles Ghostping sound notifications
srelationships | Toggles Relationship updates sound notifications
stickets | Toggles Tickets detection sound notifications
sroleupdates | Toggles Role updates detection sound notifications
snickname | Toggles Nickname updates detection sound notifications
status | Shows status commands
darkmode | Changes your Discord theme to dark
lightmode | Changes your Discord theme to light
messagedisplay <Compact/Cozy> | Changes your message display
developer <Enable/Disable> | Enables/Disables Discord Developer mode
typing <Seconds> | Shows typing... message for the specified amount of seconds
invisiblenickname | Changes your nickname to invisible letters
junknickname | Changes your nickname to junk letters
hypesquad <Bravery/Balance/Brilliance> | Changes your HypeSquad House
addfriend <User> | Adds someone as a friend
unfriend <User> | Removes a friend
block <User> | Blocks a user
unblock <User> | Unblocks a user
setusername <Name> | Sets your Discord username
setpfp <URL> | Sets your Discord profile picture
unverify | Unverify your email
changeprefix <New Prefix> | Changes selfbot prefix
restartbot | Restarts the Selfbot
stopbot | Stops the bot
updatebot | Updates the Selfbot
showsettings | Sends your Selfbot settings
deletecommands | Toggle deleting command invoke message
disablecommand <Command> | Disables a selfbot command
enablecommand <Command> | Enables a selfbot command
disabledcommands | List of disabled commands
nitrosniper | Toggles Nitro sniping
selfbotdetection | Toggles Selfbot user detection
privnotesniper | Toggles Privnote sniping
ghostpingdetection | Toggles ghostping detection
giveawaysniper | Toggles Giveaway sniping
giveawaytimeout <Seconds> | Sets the Giveaway sniper timeout
giveawayblacklistadd <Word> | Add a word to the giveaway word blacklist
giveawayblacklistdel <Word> | Delete a word from the giveaway word blacklist
giveawayblacklist | Shows the giveaway blacklist
ignorenitro <Channel> | Ignores Nitro codes form a channel
stopignorenitro <Channel> | Stop ignoring Nitro codes form a channel
ticketdetection | Toggles ticket detection
relationshipdetection | Toggles relationship update detection
afkmsg <New Message> | Change your AFK auto-reply message
deletetimeout <Infinite/(Seconds)> | Sets the time after that embeds should be deleted
streamingurl <URL> | Sets the URL for the streaming command
whookurls | Shows Webhook URL commands
snotifs | Shows sound notifications commands
toastnotifs | Shows Windows Toast notifications commands
themes | Shows the available themes
theme <Theme Name> | Selects a theme
cloudthemes | Shows the available cloudthemes
cloudthemeinstall <Theme Name> | Installs a cloud theme
newtheme <Name> | Creates a new theme and switches to it
deltheme | Deletes the current theme
themeshuffle | Toggle theme shuffle
exporttheme | Sends the current theme in the chat
languages | Shows the available languages
language <Language ID> | Selects a language
switchmode | Switch to Codeblock/Embed mode
sbtitle <New Title> | Sets the selfbot title
globalemoji <New Emoji> | Sets the global emoji
embedcolor <Hexcode> | Change the embed color
embedthumbnail <URL> | Change the embed thumbnail icon
embedauthorname <Name> | Change the embed author name
embedauthoricon <URL> | Change the embed author icon
embedauthorurl <URL> | Change the embed author URL
embedtitleurl <URL> | Change the embed title URL
embedfootericon <URL> | Change the embed footer icon
embedfooter <Text> | Change the embed footer text
footertimestamp | Enables/Disables the footer timestamp
customcmdadd <Command Name Without Prefix> <Content> | Creates a custom command
customcmddel <Command Name With Prefix> | Deletes a custom command
customcmdlist | Shows available custom commands
remotecommandsuseradd <User> | Allows other user to use selfbot commands
remotecommandsuserdel <User> | Disallows other user to use selfbot commands
cmdhistory | Command history
clearlog | Clears console log
copyuser <User> | Repeats everything the user types
stopcopy <User> | Stops repeating the user
stopcopyall | Stops repeating the all users
copymock <User> | Repeats everything the user types in a mocking way
stopcopymock <User> | Stops copymocking the user
deletesend <User> | Sends every message a user deletes
stopdeletesend <User> | Stop sending every message a user deletes
ignoreuser <User> | Ignores messages from an user
stopignoreuser <User> | Stops ignoring messages from an user
stopignoreallusers | Stops ignoring messages from all users
ignorepings | Toggles ignoring @here & @everyone pings
ignoreallpings | Toggles ignoring all pings
clearpings <Server ID> | Clears all pings of an server
afk | Toggles AFK Mode
afklog | Show who sent you while being AFK
stats | Shows your Selfbot Statistics
userstats | Shows your Discord statistics
mutualguilds <User> | Shows mutual guilds with user
mutualfriends <User> | Shows mutual friends with user
guilds | Shows a list of your guilds
blocks | Shows a list of your blocked users
stealname <User> | Steals someones Discord username
stealpfp <User> | Steals someones Discord profile picture
stealnameandpfp <User> | Steals someones Discord name and profile picture
blockdms | Toggle blocking incoming DMs (useful when getting massdmed)
blockincomingfriends | Toggle blocking incoming friend requests (useful when getting massfriendrequested)
noleave <User> | User can not leave Group DM (requires friendship with the user)
allowleave <User> | Allow user to leave the Group DM
richpresence | Shows Rich Presence commands
leaveallservers | Leaves all guilds
deleteallfriends | Blocks all friends
deletealldms | Deletes all Direct Messages
cloudscripts | Shows the available cloudscripts
cloudscriptinstall <Script Name> | Installs a cloud script
addfavorite <Command> | Add a command to the favorites
delfavorite <Command> | Delete a command from the favorites
fox | Sends a random fox image
duck | Sends a random duck image
dog | Sends a random dog image
cat | Sends a random cat image
panda | Sends a random panda image
redpanda | Sends a random red panda image
koala | Sends a random koala image
bird | Sends a random bird image
pikachu | Sends a random pikachu image
hug | Sends a random hug gif
kiss | Sends a random kiss gif
wink | Sends a random wink image
waifu | Sends a random waifu image
neko | Sends a random neko image
wallpaper | Sends a random wallpaper image
food | Sends a random food image
sadcat | Sends a random sad cat image
tpdne | Sends a random this person does not exist image
yesorno | Sends a yes or no image
belikebill | Sends a Be Like Bill image
wasted <User> | Adds wasted overlay to avatar
triggered <User> | Adds triggered overlay to avatar
trumptweet <Tweet> | Generates a Trump Tweet with a custom message
tweet <Username> <Tweet> | Tweets a message with a specific username
achievement <Text> | Generates an Minecraft Achievement Get imagege
phcomment <User> <Text> | Generates a PornHub comment with a custom message
qrcode <Text> | Generates a QR Code image with the specified text
approved <Member> | Generates a approved image with the member's profile picture
rejected <Member> | Generates a rejected image with the member's profile picture
batslap <Member> | Generates a batslap image with the member's profile picture
beautiful <Member> | Generates a beautiful image with the member's profile picture
brazzers <Member> | Generates a brazzers image with the member's profile picture
burn <Member> | Generates a burn image with the member's profile picture
crush <Member> | Generates a crush image with the member's profile picture
dictator <Member> | Generates a dictator image with the member's profile picture
discordhouse <Bravery, Brilliance, Balance> <Member> | Generates a discordhouse image with the member's profile picture
gay <Member> | Generates a gay image with the member's profile picture
magik <Member> | Generates a magik image with the member's profile picture
missionpassed <Member> | Generates a missionpassed image with the member's profile picture
rip <Member> | Generates a rip image with the member's profile picture
scary <Member> | Generates a scary image with the member's profile picture
sniper <Member> | Generates a sniper image with the member's profile picture
tobecontinued <Member> | Generates a tobecontinued image with the member's profile picture
subzero <Member> | Generates a subzero image with the member's profile picture
vs <Member> | Generates a vs image with the member's profile picture
wanted <Member> | Generates a wanted image with the member's profile picture
whowouldwin <Member> | Generates a whowouldwin image with the member's profile picture
changemymind <Text> | Generates Change my Mind image
clyde <Text> | Generates a ClydeBOT image
supreme <Text> | Generates a Supreme Logo image
scroll <Text> | Generates a Scroll of Truth image
captcha <Text> | Generates a reCAPTCHA image
phlogo <Text 1> <Text 2> | Generates a Pornhub Logo image
facts <Text> | Generates a facts image
deletetrash <User> | Generates a delete trash image
smart <User> | Generates a smart image
shoot <User> | Generates a shoot image
punch <User> | Generates a punch image
bear | Generates a bear image
car | Generates a car image
shiba | Generates a shiba image
goose | Sends a random goose image
slap | Sends a random slap image
pat | Sends a random pat image
poke | Sends a random poke image
tickle | Sends a random tickle image
cuddle | Sends a random cuddle image
smug | Sends a random smug image
baka | Sends a random baka image
kannagen <Text> | Generates a kanna image
httpcat <HTTP Code> | Generates a cat image with an HTTP code
trash <User> | Generates a trash image
crap <User> | Generates a crap image
simpcard <User> | Generates a simpcard image
gif <Text> | Searches for a gif
eject <Impostor(true/false)> <Crewmate(red,lime,blue)> <User> | Eject an user
carreverse <Text> | Car reverse meme
water <Text> | Water meme
emergencymeeting <Text> | Emergency meeting meme
iamspeed <User> | I am speed meme
drip <User> | Drip goku meme
firsttime <User> | First time meme
heaven <User> | Heaven meme
dockofshame <User> | Dock of Shame image
icanmilkyou <User 1> <User 2> | I can milk you meme
stonks <User> | Stonks meme
notstonks <User> | Not stonks meme
tableflipimg <User> | Table flip meme
batmanslap <User(Batman)> <User(Robin)> <"Text 1"> <"Text 2"> | Batman slap meme
distractedbf <User(Boyfriend)> <User(Woman)> <User(Girlfriend)> | Distracted boyfriend meme 
npc <"Text 1"> <"Text 2"> | NPC meme
wide <User> | Wide avatar
womanyellingatcat <User(Woman)> <User(Cat)> | Woman yelling at cat meme
drake <"Text 1"> <"Text 2"> | Drake meme
fry <"Text 1"> <"Text 2"> | Fry meme
bihw <"Text 1"> <"Text 2"> | But it's honest work meme
cheems <"Text 1"> <"Text 2"> | Cheems images
fwp <"Text 1"> <"Text 2"> | First World Problems meme
mb <"Text 1"> <"Text 2"> | Member Berries meme
mordor <"Text 1"> <"Text 2"> | Mordor meme
morpheus <"Text 1"> <"Text 2"> | Matrix Morpheus meme
pigeon <"Text 1"> <"Text 2"> | Is this a pigeon meme
spiderman <"Text 1"> <"Text 2"> | Spiderman pointing at Spiderman meme
spongemock <"Text 1"> <"Text 2"> | Mocking Spongebob meme
ds <"Text 1"> <"Text 2"> | Daily Struggle meme
ps4 <User> | PS4 Cover
thanos <User> | Thanos effect
moustache <User> | Moustache over avatar
glitch <User> | Glitch effect
dungeon <User> | Dungeon meme
challenger <User> | Challenger approaching
3000years <User> | 3000 years meme
revavatar <User> | Reverse Avatar Search
revimage <URL> | Reverse Image Search
aag <"Text 1"> <"Text 2"> | Ancient Aliens Guy
ackbar <"Text 1"> <"Text 2"> | It's A Trap!
afraid <"Text 1"> <"Text 2"> | Afraid to Ask Andy
agnes <"Text 1"> <"Text 2"> | Agnes Harkness Winking
aintgottime <"Text 1"> <"Text 2"> | Sweet Brown / Ain't Nobody Got Time For That
ams <"Text 1"> <"Text 2"> | Awkward Moment Seal
ants <"Text 1"> <"Text 2"> | Do You Want Ants?
apcr <"Text 1"> <"Text 2"> | Almost Politically Correct Redneck
atis <"Text 1"> <"Text 2"> | And Then I Said
away <"Text 1"> <"Text 2"> | Life... Finds a Way
awesome <"Text 1"> <"Text 2"> | Socially Awesome Penguin
awesomeawkward <"Text 1"> <"Text 2"> | Socially Awesome Awkward Penguin
awkward <"Text 1"> <"Text 2"> | Socially Awkward Penguin
awkwardawesome <"Text 1"> <"Text 2"> | Socially Awkward Awesome Penguin
bad <"Text 1"> <"Text 2"> | You Should Feel Bad
badchoice <"Text 1"> <"Text 2"> | Milk Was a Bad Choice
bd <"Text 1"> <"Text 2"> | Butthurt Dweller
bender <"Text 1"> <"Text 2"> | I'm Going to Build My Own Theme Park
bihw <"Text 1"> <"Text 2"> | But It's Honest Work
biw <"Text 1"> <"Text 2"> | Baby Insanity Wolf
blb <"Text 1"> <"Text 2"> | Bad Luck Brian
boat <"Text 1"> <"Text 2"> | I Should Buy a Boat Cat
both <"Text 1"> <"Text 2"> | Why Not Both?
bs <"Text 1"> <"Text 2"> | This is Bull, Shark
buzz <"Text 1"> <"Text 2"> | X, X Everywhere
captain <"Text 1"> <"Text 2"> | I am the Captain Now
captainamerica <"Text 1"> <"Text 2"> | Captain America Elevator Fight Dad Joke
cb <"Text 1"> <"Text 2"> | Confession Bear
cbg <"Text 1"> <"Text 2"> | Comic Book Guy
center <"Text 1"> <"Text 2"> | What is this, a Center for Ants?!
ch <"Text 1"> <"Text 2"> | Captain Hindsight
cheems <"Text 1"> <"Text 2"> | Cheems
chosen <"Text 1"> <"Text 2"> | You Were the Chosen One!
cmm <"Text 1"> <"Text 2"> | Change My Mind
crazypills <"Text 1"> <"Text 2"> | I Feel Like I'm Taking Crazy Pills
cryingfloor <"Text 1"> <"Text 2"> | Crying on Floor
db <"Text 1"> <"Text 2"> | Distracted Boyfriend
dg <"Text 1"> <"Text 2"> | Distracted Girlfriend
disastergirl <"Text 1"> <"Text 2"> | Disaster Girl
dodgson <"Text 1"> <"Text 2"> | See? Nobody Cares
dogeimg <"Text 1"> <"Text 2"> | Doge
drake <"Text 1"> <"Text 2"> | Drakeposting
ds <"Text 1"> <"Text 2"> | Daily Struggle
dsm <"Text 1"> <"Text 2"> | Dating Site Murderer
dwight <"Text 1"> <"Text 2"> | Schrute Facts
elf <"Text 1"> <"Text 2"> | You Sit on a Throne of Lies
ermg <"Text 1"> <"Text 2"> | Ermahgerd
fa <"Text 1"> <"Text 2"> | Forever Alone
facepalm <"Text 1"> <"Text 2"> | Facepalm
fbf <"Text 1"> <"Text 2"> | Foul Bachelor Frog
feelsgood <"Text 1"> <"Text 2"> | Feels Good
fetch <"Text 1"> <"Text 2"> | Stop Trying to Make Fetch Happen
fine <"Text 1"> <"Text 2"> | This is Fine
firsttry <"Text 1"> <"Text 2"> | First Try!
fmr <"Text 1"> <"Text 2"> | Fuck Me, Right?
fry <"Text 1"> <"Text 2"> | Futurama Fry
fwp <"Text 1"> <"Text 2"> | First World Problems
gandalf <"Text 1"> <"Text 2"> | Confused Gandalf
gb <"Text 1"> <"Text 2"> | Galaxy Brain
gears <"Text 1"> <"Text 2"> | You Know What Really Grinds My Gears?
ggg <"Text 1"> <"Text 2"> | Good Guy Greg
gru <"Text 1"> <"Text 2"> | Gru's Plan
grumpycat <"Text 1"> <"Text 2"> | Grumpy Cat
hagrid <"Text 1"> <"Text 2"> | I Should Not Have Said That
happening <"Text 1"> <"Text 2"> | It's Happening
